0.23930E-05 0.95256E-09 0.00000E+01 216720 0 0 12528 0.52350E+10 0.00000E+01 0.23930E-05 0.00000E+01 0.00000E+01 0
1 2.4021e-06 6.7463e-09 0.14265 3.0809e-06 2.4021e-06
2 2.3948e-06 5.588e-09 0.16761 3.0512e-06 2.3948e-06
3 2.3933e-06 4.0516e-09 0.17198 3.0266e-06 2.3933e-06
4 2.3926e-06 8.1038e-09 0.17204 3.0181e-06 2.3926e-06
5 2.3956e-06 5.4848e-09 0.16447 3.0504e-06 2.3956e-06
6 2.3936e-06 3.9203e-09 0.16638 3.059e-06 2.3936e-06
7 2.3894e-06 8.0276e-09 0.17065 2.9058e-06 2.3894e-06
8 2.3924e-06 5.6685e-09 0.1702 3.0243e-06 2.3924e-06
9 2.3896e-06 4.0723e-09 0.17312 3.032e-06 2.3896e-06
10 2.394e-06 7.2317e-09 0.15344 3.0213e-06 2.394e-06
11 2.3963e-06 5.0978e-09 0.15281 3.0263e-06 2.3963e-06
12 2.3873e-06 4.0469e-09 0.17221 3.0536e-06 2.3873e-06
13 2.4002e-06 7.4166e-09 0.15695 3.0232e-06 2.4002e-06
14 2.3833e-06 6.0755e-09 0.18312 3.0478e-06 2.3833e-06
15 2.3993e-06 3.5662e-09 0.15099 3.0595e-06 2.3993e-06
16 2.3955e-06 7.6641e-09 0.16251 3.0324e-06 2.3955e-06
17 2.388e-06 6.0956e-09 0.18336 3.0176e-06 2.388e-06
18 2.391e-06 3.9761e-09 0.16894 3.0416e-06 2.391e-06
19 2.3888e-06 9.1301e-09 0.19414 3.0341e-06 2.3888e-06
20 2.3854e-06 5.684e-09 0.17116 3.0494e-06 2.3854e-06
21 2.3946e-06 3.8817e-09 0.16468 3.0616e-06 2.3946e-06
22 2.4045e-06 6.5146e-09 0.13761 3.0741e-06 2.4045e-06
23 2.3979e-06 5.4423e-09 0.16304 3.0325e-06 2.3979e-06
24 2.3916e-06 4.0037e-09 0.17006 3.0534e-06 2.3916e-06
25 2.3964e-06 6.9956e-09 0.14827 3.0725e-06 2.3964e-06
26 2.3827e-06 5.982e-09 0.18035 3.0143e-06 2.3827e-06
27 2.395e-06 3.8236e-09 0.16218 3.0693e-06 2.395e-06
28 2.3944e-06 7.4336e-09 0.15769 3.0295e-06 2.3944e-06
29 2.3947e-06 5.5233e-09 0.16568 3.0431e-06 2.3947e-06
30 2.3916e-06 3.9013e-09 0.16572 3.0334e-06 2.3916e-06
31 2.3869e-06 7.8258e-09 0.16653 2.9905e-06 2.3869e-06
32 2.3959e-06 5.5378e-09 0.16603 3.0493e-06 2.3959e-06
33 2.3916e-06 4.0824e-09 0.17341 3.0608e-06 2.3916e-06
34 2.3912e-06 8.0954e-09 0.17196 3.0229e-06 2.3912e-06
35 2.3933e-06 5.5241e-09 0.1658 3.0538e-06 2.3933e-06
36 2.3934e-06 3.9585e-09 0.16802 3.0549e-06 2.3934e-06
<lo_statistics>
<cumulated_time> 6.798527 </cumulated_time>
</lo_statistics>
