m_a_GeV,g_agg_GeV_inv,sqrt_s_GeV,ell_a_m,dtheta_min_rad,dtheta_min_deg,is_resolved,signature
0.01,1.1227403464770842e-05,91.2,1435233.2762325855,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.2285291759493421e-05,91.2,1198699.1697840593,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.3442858278804877e-05,91.2,1001147.1469033404,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.4709495080927893e-05,91.2,836152.7520981448,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.6095479179229906e-05,91.2,698350.3144406419,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.761205592603396e-05,91.2,583258.4542185413,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,1.927153025316691e-05,91.2,487134.3470216465,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.108736650953627e-05,91.2,406852.005885012,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.3074297705779573e-05,91.2,339800.6231847639,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.5248445052357275e-05,91.2,283799.6663322019,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,2.7627448760974847e-05,91.2,237027.96615082995,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.0230611170608592e-05,91.2,197964.49186742533,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.307905335940545e-05,91.2,165338.88670077728,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.619588651314594e-05,91.2,138090.15544949262,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,3.960639944069097e-05,91.2,115332.16058588182,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.333826375784011e-05,91.2,96324.80477779417,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,4.742175840438755e-05,91.2,80449.96268470123,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.189001531602136e-05,91.2,67191.37932228527,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,5.6779288244355975e-05,91.2,56117.8812838624,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,6.212924690620147e-05,91.2,46869.354842149616,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,6.798329884868617e-05,91.2,39145.034934721225,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,7.438894164172547e-05,91.2,32693.72418718506,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,8.139814825539271e-05,91.2,27305.62389355921,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,8.9067788749e-05,91.2,22805.51129469558,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,9.746009169331356e-05,91.2,19047.041277645523,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00010664314906971048,91.2,15907.987185392107,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00011669146874283843,91.2,13286.265966547151,0.0004385964859548553,0.025129727554482097,False,invisible
0.01,0.00012768657898933362,91.2,11096.618401599331,0.0004385964859548553,0.025129727554482097,False,invisible
