m_a_GeV,g_agg_GeV_inv,channel,base_channel,n_target,bkg_events,limit_method,efficiency_model,efficiency_correction_channel,detector_correction_factor,sqrt_s_GeV,luminosity_ab_inv
0.01,5.535210599665386e-07,invisible_lower,invisible,10.70808136427202,42.31107251065304,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_lower,1.0013489367016526,91.2,150.0
0.01,0.05502274597459428,invisible_upper,invisible,10.70808136427202,42.31107251065304,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_upper,149496011.06351814,91.2,150.0
0.010514895768547274,5.536054591306243e-07,invisible_lower,invisible,10.708081378734473,42.31107262494464,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_lower,1.0010436480899618,91.2,150.0
0.010514895768547274,0.04946454966415846,invisible_upper,invisible,10.708081378734473,42.31107262494464,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_upper,111613519.02285331,91.2,150.0
0.011056303302341332,5.542252132226399e-07,invisible_lower,invisible,10.708081394724594,42.31107275130886,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_lower,0.9988048606675108,91.2,150.0
0.011056303302341332,0.04451904572485368,invisible_upper,invisible,10.708081394724594,42.31107275130886,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_upper,91903221.58646676,91.2,150.0
0.011625587680956413,5.538593121932974e-07,invisible_lower,invisible,10.708081412403757,42.31107289102098,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_lower,1.0001277820553567,91.2,150.0
0.011625587680956413,0.04002762030335088,invisible_upper,invisible,10.708081412403757,42.31107289102098,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_upper,70160328.21510774,91.2,150.0
0.012224184271336385,5.535773278498374e-07,invisible_lower,invisible,10.708081431950374,42.311073045490915,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_lower,1.0011454143673066,91.2,150.0
0.012224184271336385,0.03599844726496792,invisible_upper,invisible,10.708081431950374,42.311073045490915,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_upper,54942043.11161681,91.2,150.0
0.01285360234686171,5.537746179661912e-07,invisible_lower,invisible,10.708081453561705,42.31107321627755,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_lower,1.0004330742000942,91.2,150.0
0.01285360234686171,0.032408251298236976,invisible_upper,invisible,10.708081453561705,42.31107321627755,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_upper,46828260.98987915,91.2,150.0
0.013515428892760552,5.531838666365467e-07,invisible_lower,invisible,10.708081477455845,42.311073405104416,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_lower,1.0025701012907933,91.2,150.0
0.013515428892760552,0.029138257240612933,invisible_upper,invisible,10.708081477455845,42.311073405104416,binned_delta_chi2_with_3_event_floor,delphes_corrected,invisible_upper,36267762.53090107,91.2,150.0
