m_a_GeV,g_agg_GeV_inv
0.1959624406366636,0.0010491985625291193
0.19958101823535354,0.0010954740035779536
0.20881331099931064,0.0011938363375869647
0.2201761577625353,0.001233009919128386
0.22780345796968776,0.0012010853693953292
0.2315599332060715,0.0011259790845371744
0.2351543311763974,0.001045236362636679
0.24081936296776393,0.0009650533015489358
0.24462599113855998,0.0008960118098305127
0.24988855342816765,0.0008531603819401711
0.25684194751310624,0.000842468018810943
0.2593256954652121,0.0009189601949935082
0.2702727983167405,0.000967839282455371
0.28255352139028533,0.0009621597655562784
0.28552327792903115,0.0009045761859496802
0.28777106123931073,0.0008523000216352727
0.2911759591043809,0.0008010219138342718
0.2951992911728107,0.0007440505580545104
0.3034135009753782,0.0007110241032601151
0.31124550896279496,0.0007114726110969073
0.31418815693285573,0.000763153204819901
0.32224413779468325,0.0008343112722274636
0.33028460565853546,0.0008736937336488372
0.3406178984621618,0.0008313852287692002
0.3563912647477405,0.0008231807174552581
0.36552563715996,0.000896173258171774
0.37443625451846585,0.00096644528810601
0.3861508769620959,0.0009982113960201227
0.3982320033896222,0.0009383067562232839
0.40064832722605026,0.0008847186426755627
0.4079399216349404,0.0008368203250705466
0.4160161609259208,0.0008025387032347802
0.4192912500539193,0.0007810698686714671
0.4275922186241886,0.0008277234597089318
0.4305362176167574,0.0008899784471168265
0.4350816423141496,0.0009636633198922929
0.44064067490948783,0.0010421649992107265
0.4454382955344024,0.0011203131168474288
0.4464374097128646,0.0011974553680735695
0.45247933219871583,0.0012773293419462083
0.4590599138316871,0.001397179704095597
0.4679443034917951,0.0014935537941659122
0.48475171430910624,0.0014785603790393974
0.4866560786705817,0.001384705223005894
0.4885679243952234,0.0012989902678186382
0.49048728087383514,0.0012144897743732994
0.4943486442339415,0.001132489573053918
0.4982404061947459,0.0010619788147659898
0.5016005783184108,0.0009875676509402377
0.5047948794140668,0.0009225494842733351
0.5121044341615506,0.0008536985481086396
0.5164251576534583,0.0007926949640148198
0.5400372530240876,0.0007975395964539911
0.5452595947569971,0.0008720162765333921
0.5474016664802227,0.0009286195954953535
0.5548100027117796,0.000998301323582095
0.5573016618772821,0.0010783286850568475
0.5670629907488601,0.001152801507125186
0.5769952926281613,0.001219752674523522
0.5867728069987199,0.0012921432582600656
0.6085295632999017,0.0012870316960699691
0.6122904819658074,0.0012057686878962758
0.6224045726527799,0.001133101857985536
0.6378451636382504,0.001196247807235789
0.647927572870586,0.0010738307567460296
0.6530283856489069,0.0010060050600868191
0.668573028022634,0.0011203131168474288
0.6738363722409849,0.0010678883435586393
0.6745573041595107,0.0012206320391719933
0.67914115216075,0.001341163155056943
0.6848711965320052,0.0014334437734507838
0.7062980946837515,0.0014960674370515484
0.7121686174816599,0.0013654364427646134
0.7248138885840328,0.0014359252390712253
0.7403236439951194,0.0014785603790393974
0.7490831293444946,0.001376347971754192
0.7520259290772151,0.0012902821637237809
0.7579462566404841,0.0012114302422504269
0.7639131920095465,0.0011354861145605156
0.7669142521712332,0.0010630508368165274
0.775650371978005,0.0009886753876779788
0.7944599297266827,0.0008815999298269112
0.7982066764628992,0.000942780414049678
0.8070179462906176,0.0010179167744795029
0.810188345013551,0.0012645065503253876
0.812733629263458,0.001090756066220318
0.8165665564620693,0.000967839282455371
0.8211531411372905,0.0012031645943405775
0.8262281454794349,0.0013380094865190813
0.8327326303304163,0.0014588030319770704
0.8392883217681147,0.0015472382301772575
0.8458956229166111,0.00164379637733832
0.8660312636218366,0.001586761668840463
0.8679197469925215,0.0014425403996852718
0.8870325622142834,0.0013351625577640177
0.896258029370163,0.0012502347116327018
0.9233066213423827,0.0014129309577715619
0.9293599392898054,0.001336660185409763
0.9348418498589887,0.0012408097534540334
0.951482358789799,0.0011345318104907518
0.9672806396257282,0.0010323971537722118
0.9722235433463399,0.0009569157754825564
0.9818002325597516,0.0011842389729787774
0.9856572697146092,0.0011184308039074455
0.9918600711320552,0.0012837894169661264
1.006861405685348,0.0013747618424605505
1.0376514879122454,0.0012483090240957035
1.0591169211922942,0.0013176906208317409
1.0660606290779318,0.0014072401538457748
1.0805983506848653,0.0015345183082676461
1.117417554399726,0.001584095644514752
1.120608439400388,0.0014285685731162169
1.1395397618098364,0.001322129685400841
1.1586876507517334,0.001233787691090033
1.1874323336818677,0.0011598501319559746
1.2062020593243716,0.0010979329285468564
1.2228687904693907,0.0012144897743732994
1.233814467627473,0.0013262795451941943
1.2416576151967047,0.0014802188534226688
1.2648060392241123,0.001624014313858017
1.2868153865618264,0.0017332152291812059
1.327818255500595,0.001589432180070566
1.3336154982063504,0.0014612581895195684
1.3551681585994513,0.0016840863334215495
1.380913969007131,0.001694312186844375
1.3863389386796638,0.0017552127011299572
1.3893620143373313,0.0015533210335144313
1.4082527781368168,0.0013981589926705413
1.423319826506917,0.0012977426639458928
1.463416827310678,0.0013708045116170718
1.4645648417366186,0.0012805553057837248
1.467177315844686,0.001509391318082992
1.5041378358211648,0.0016487794298858595
1.5331144952714626,0.0017346731119233997
1.5399422284822861,0.001496570673054685
1.5655112152027622,0.001604470315165381
1.5815519428231022,0.001346813205493228
1.5977570288588148,0.0012430025355085249
1.6153944011278605,0.0014777318388015746
1.6409289169512453,0.0012773293419462083
1.6437908845928122,0.0016697988608705436
1.6538471373486556,0.0014417320439476422
1.6603443346864386,0.0019599985381589064
1.662515734293318,0.0015112383833713384
1.6932151998339497,0.0020836292314348774
1.7499098189510327,0.002071053693541916
1.7817572816379947,0.0019827892969108145
1.8213114396299268,0.00186005220246876
1.860284333776945,0.0015086992507648896
1.8690576072866756,0.001598008056044983
1.9422722938527859,0.0017581667145282107
1.9477194443951975,0.0018850174525128368
1.9575628413619315,0.001657327114870784
1.972973763776217,0.001566875335248414
2.004160531388568,0.001813721577915448
2.0215228861284036,0.001910455458357076
2.0278736938073223,0.0020378887418298014
2.036727372336682,0.0022037575027201387
2.055087971152087,0.0024216386489625628
2.0720789301441362,0.0026444818446919698
2.100709939495343,0.0028059743415159285
2.1200167263909826,0.0020215059591396772
2.1255654713800225,0.0024037871844563336
2.1292727005818963,0.002204993113754203
2.1339158309810062,0.002562403084744311
2.1447002284353758,0.0017238723375475938
2.1535277999765268,0.0018616167733079164
2.159164253896973,0.0015011074212844238
2.1715132308764655,0.0015896751765707648
2.2525576163188306,0.0017184146318780656
2.254324692240434,0.0018091524662220662
2.2583459309878227,0.00196754113583079
2.2869678715366617,0.0015921071857564954
2.335294501970712,0.002087135968061549
2.3610734268918034,0.0017855779810498449
2.362925630791749,0.0016857863463213688
2.3753108442984625,0.0019252906455058361
2.380194206120673,0.0014892545138735027
2.3815277736182465,0.001586761668840463
2.4097059330102177,0.0014200768360391523
2.438217495470395,0.001668863156407662
2.447796119674989,0.0015708325630387865
2.4516380974817906,0.0019085288803355942
2.4593401532746078,0.002392495739207705
2.4615451816243423,0.002208880974709955
2.486488397366816,0.00263523366305802
2.575796957541979,0.0020836292314348774
2.576919344816471,0.002387672799658608
2.596074930861096,0.0025753624019815525
2.6062737036186054,0.001954650021107645
2.616512542617845,0.001822894449056671
2.6474710341768,0.002136854514083202
2.6893195703404515,0.002239872918771111
2.698708712686232,0.0024200103251093195
2.719615774776228,0.002618406262937238
2.807845443810871,0.002367681646353266
2.829950219898555,0.0020420051409490757
2.8602281625450328,0.0019289942374908877
2.86343409913398,0.0018183022291457436
2.9239422169800444,0.0020766334239898654
2.961633144725826,0.002251958286483361
3.02500693821342,0.002440443307509758
3.060798722214869,0.00264559380528256
3.149494662200926,0.0022866286823259923
3.1624579607917664,0.0020215059591396772
3.168249685843062,0.00249102676505848
3.2335081062193796,0.0027876325184252337
3.2462110578918577,0.002375657943323942
3.2589639135620665,0.002555947901082043
3.3104783087838223,0.0030062564884251464
3.3911796399199945,0.0028181338204140574
3.448645113358148,0.0026392460366022807
3.471470920100509,0.002440443307509758
3.504902398165469,0.0022537261756870332
3.6039994809689815,0.0026709240372415743
3.647322801710213,0.0024681535341965696
3.6609678483906127,0.0021118489327737753
3.6657556649782608,0.0028487635457401907
3.6673529948833696,0.0022663943822734973
3.7530150584346686,0.0024302053415334183
3.7937001658644123,0.002631174715906087
3.8461197254402704,0.0029160121406140212
3.9415341297859183,0.0031274336268782696
3.9991311500097493,0.0034962867884826307
4.019567122188667,0.0032685753361467807
4.123324145873282,0.0034857200744198022
4.155785034054422,0.0032892518495367656
4.161219972940731,0.0030882385860524215
4.213958656169857,0.002820165516927698
4.266641489060231,0.002618406262937238
4.2848429154251955,0.002488514716219293
4.390280385897528,0.0026080481649737347
4.459677484156972,0.0027722061915715634
4.494786315530836,0.0030789051028255574
4.530171541340111,0.0033226066716562364
4.540050114991589,0.003538874939710684
4.559871933454971,0.0038883205807983584
4.67452016501954,0.003347844568793447
4.692884183849135,0.003565755570051846
4.712999948315827,0.0030854072738627724
4.7530669573089925,0.0028595624147979446
4.952828833545711,0.0028344284640077206
4.9576860248570265,0.00308997011126245
5.065757687841646,0.0033860613109854888
5.0956385009000424,0.0031195550231670715
5.188376512462798,0.004018610929725608
5.253883526513368,0.004269399475385473
5.404314216607954,0.003643031323204402
5.410371736393267,0.0038864528804428283
5.456359651049724,0.003383689670010964
5.475409279074056,0.0029886150423312236
5.526763368125403,0.003146650318375532
5.700312367156487,0.0031353321284261714
5.719216985318024,0.0034779134735767616
5.782476418904235,0.0038436270894399373
5.838617881759345,0.004126019269210447
5.922056722818963,0.004590060570055965
5.925927892737215,0.004297490900407763
5.965558660062329,0.004917134245828666
6.10930423595568,0.0040963908840136905
6.156851100158552,0.003752618870958143
6.215466750766924,0.004516051037730497
6.216627327903115,0.0035084022619436845
6.297232721284293,0.005488753692162859
6.321971624141856,0.0037597247096740546
6.366746818712132,0.004857959604046295
6.3967729873969805,0.004131672841432947
6.530725746275692,0.004370892635463194
6.664428693074482,0.00477446991493334
6.704934252951205,0.004418398981643229
6.773635149514214,0.005314372175043587
6.891505624607789,0.005639620022695176
7.083268527666294,0.0060408895016186995
7.139031591519444,0.00638558691467099
7.175110874968431,0.005275449954686576
7.204643582488439,0.006818401239542937
7.223500381813887,0.005686041963613112
7.242406535264483,0.0049287238584014795
7.257567079789366,0.007185681135875055
7.337682147375859,0.007721911478616272
7.366508492832312,0.004729792794426762
7.4946957714006714,0.0062265331905316905
7.535948583888172,0.005330482318714972
7.555313434499263,0.00835058699179407
7.55666006212556,0.005743701555196795
7.586346670113334,0.007280551668099255
7.601233679850008,0.006772692392274857
7.631095396881279,0.0051080293041316695
7.6610744267307185,0.008983630831258792
7.782172918861744,0.0053655553647609395
7.812745462132977,0.00769598507818147
7.874251336486276,0.0056006360649127574
7.90518561309809,0.006010491526022586
7.936241416116492,0.008259178521989279
7.998719512931878,0.006615111042596347
8.04905594351175,0.009062530088126842
8.101297182773472,0.009954059902814956
8.173082091597802,0.010763641894487077
8.28601388506787,0.00767014572591361
8.31204519095616,0.008334517794803096
8.318565785506022,0.007200195731736927
8.327889794956928,0.006715986996157237
8.41227758250839,0.009188799902552417
8.50990453785006,0.011733394560045369
8.516580348180078,0.007813343627169218
8.550038037174152,0.010311849554579186
8.574016829683952,0.01089239822751409
8.61734825069374,0.012617481380840352
8.74212958542058,0.00959254026512723
8.7879512312684,0.01041641737831217
8.822475010434495,0.011038593826201388
8.829396024594995,0.014356870376341277
8.843254345270191,0.013323993762163335
8.85713441749571,0.012553989755807902
9.048596636619237,0.015638158833190956
9.06796903051056,0.013270329260305106
9.119831754991267,0.01842848107948798
9.125034313630822,0.01697452952051438
9.139356658142066,0.01426542241052364
9.20099319160876,0.02009840922242564
9.273428052556405,0.02144521637269911
9.369146242978044,0.022805446444779293
9.39366822085691,0.016176129906251564
9.430571580773403,0.017077599682271186
9.467619916852758,0.01927562601680008
9.54215379791328,0.024577458258995898
9.579640488703765,0.02072103426849034
9.617274447293052,0.021756556263890982
