m_a_GeV,published_g_agg_GeV_inv,closure_g_agg_GeV_inv,three_event_prompt_g_agg_GeV_inv,effective_signal_events,prompt_probability_at_closure,invisible_probability_at_closure,sigma_pb_at_closure,recoil_energy_GeV,delta_theta_min_deg,resolved_pass,recoil_energy_pass,log10_ratio_closure_to_published
0.1959624406366636,0.0010491985625291193,0.0010491985625282862,0.00017637912198105674,106.1554451525056,1.0,0.0,0.2603906268932887,5.288185194794883,4.243467016464707,True,True,-3.448435020395924e-13
0.19853082808918812,0.0010827182897498817,0.0010827183787609955,0.00017638151761925595,113.04363713529669,1.0,0.0,0.2772867985971989,5.288137311450766,4.299045240671665,True,True,3.570368614042092e-08
0.20113287818688513,0.001114309918600731,0.0011143102106681152,0.00017638397652227283,119.73337271227668,1.0,0.0,0.2936961729143484,5.2880881647123,4.355350353564949,True,True,1.1383120127428005e-07
0.20376903213019693,0.0011469342056446659,0.0011469362753200277,0.00017638650036239044,126.84377103181326,1.0,0.0,0.31113739877278873,5.288037721245025,4.412391820477117,True,True,7.83696025067552e-07
0.2064397369021723,0.001175989357919351,0.001175992175562947,0.00017638909085616506,133.3480519080126,1.0,0.0,0.3270918678363508,5.287985946834961,4.470179228345563,True,True,1.0405583958089548e-06
0.2091454453442563,0.0011956098918465396,0.0011956091304679863,0.00017639174976560683,137.82981203071103,1.0,0.0,0.3380852589327918,5.287932806365395,4.528722287208851,True,True,-2.765639627561761e-07
0.21188661623307378,0.0012096765957975873,0.0012096684324906957,0.00017639447889939057,141.08601736218174,1.0,0.0,0.3460724643509505,5.287878263793067,4.588030831718788,True,True,-2.9307759709145743e-06
0.21466371435821874,0.0012217381482240175,0.0012217242174250857,0.0001763972801140983,143.90764005966503,1.0,0.0,0.3529936741067445,5.287822282123721,4.648114822668288,True,True,-4.952046071724763e-06
0.2174772106010636,0.0012300876933121865,0.0012300750403224068,0.0001764001553154945,145.87690510290378,1.0,0.0,0.357824120234026,5.287764823387013,4.708984348535093,True,True,-4.467284676575917e-06
0.2203275820146012,0.0012329943692312654,0.0012329954382245734,0.00017640310645983509,146.56549421205,1.0,0.0,0.35951317301399643,5.287705848610756,4.770649627041367,True,True,3.765286405054463e-07
0.2232153119043335,0.001227208217112547,0.0012272187225948275,0.00017640613555521123,145.19037499656724,1.0,0.0,0.35614011801937384,5.287645317794492,4.833121006729219,True,True,3.7177500868700394e-06
0.2261408899102199,0.0012124700174477444,0.0012124756174218172,0.00017640924466292936,141.71786514654178,1.0,0.0,0.347622335298689,5.287583189882354,4.896408968552181,True,True,2.0058493712910087e-06
0.22910481208970043,0.0011822522279210793,0.0011822503342549396,0.0001764124358989276,134.73541121294141,1.0,0.0,0.3304949467481127,5.287519422735224,4.960524127482658,True,True,-6.956294048466862e-07
0.23210758100180637,0.0011138303322882675,0.0011138303362878365,0.00017641571142534913,119.58723319109697,1.0,0.0,0.2933377047874687,5.28745397310215,5.025477234135376,True,True,1.559475178157546e-09
0.23514970579237363,0.0010453188672552016,0.0010453188685846586,0.00017641907337205556,105.32410084516663,1.0,0.0,0.2583514072847301,5.28738679659101,5.091279176406828,True,True,5.523442072277645e-10
0.23823170228037294,0.0010008847648564007,0.00100088469304155,0.00017642252416016777,96.55644900702151,1.0,0.0,0.23684507423464368,5.287317847638403,5.1579409811307215,True,True,-3.1161224146549434e-08
0.24135409304537137,0.0009557580703663125,0.0009557580783299053,0.00017642606613505477,88.04236642519209,1.0,0.0,0.215960725835982,5.287247079478746,5.225473815749424,True,True,3.618639960358506e-09
0.24451740751614046,0.0008973104015416106,0.0008973104849853492,0.00017642970170518563,77.60028891382136,1.0,0.0,0.19034716351212563,5.287174444112551,5.293888990001391,True,True,4.0386418634571504e-08
0.24772218206042518,0.0008648892938137474,0.0008648911250449634,0.0001764334333436485,72.09121802446931,1.0,0.0,0.1768338630472808,5.2870998922738766,5.363197957624552,True,True,9.19531292571457e-07
0.2509689600758902,0.0008503898481074728,0.0008503867711361705,0.00017643726358973879,69.69050581409027,1.0,0.0,0.17094511226437129,5.287023373396901,5.433412318075604,True,True,-1.5714134854130474e-06
0.25425829208225764,0.0008441706227881467,0.0008441629097093011,0.00017644119505061281,68.67106839523022,1.0,0.0,0.1684445156255581,5.286944835581636,5.5045438182652076,True,True,-3.9681111778354595e-06
0.2575907358146522,0.0008572908964984047,0.0008572938448545866,0.00017644523140300638,70.82079819035437,1.0,0.0,0.17371762708503677,5.286864225558718,5.576604354308981,True,True,1.4936034243081382e-06
0.26096685631817046,0.0009329224445538094,0.0009329145288069946,0.0001764493733378171,83.86190614206727,1.0,0.0,0.20570639858724207,5.286781488653281,5.649605973294276,True,True,-3.684957700933225e-06
0.2643872260436889,0.0009542656956571743,0.0009542487490150601,0.0001764536246751579,87.73710229117744,1.0,0.0,0.21521193787643733,5.28669656874787,5.723560875062601,True,True,-7.712630289675464e-06
0.2678524249449285,0.0009656219779672719,0.0009656093124694898,0.0001764579884047681,89.83415740911468,1.0,0.0,0.2203558426099022,5.286609408244382,5.7984814140076875,True,True,-5.6964236491115635e-06
0.2713630405767901,0.0009678111050722957,0.0009678182803601581,0.00017646246748606446,90.2410628794309,1.0,0.0,0.2213539484569667,5.2865199480249965,5.874380100888985,True,True,3.2198187816683428e-06
0.2749196681949804,0.0009672268883997828,0.0009672496414388013,0.00017646706496290352,90.13035572704976,1.0,0.0,0.22108239286442544,5.286428127412078,5.951269604660581,True,True,1.0216220398899913e-05
0.2785229108569423,0.0009656021110915593,0.0009656251346532219,0.0001764717839635519,89.82305593898322,1.0,0.0,0.22032861161142886,5.286333884127021,6.029162754315337,True,True,1.0355079451472197e-05
0.28217337952410865,0.0009625682695426998,0.0009625716199487472,0.00017647662770157288,89.25097487676989,1.0,0.0,0.21892534354344345,5.286237154248013,6.108072540744137,True,True,1.5116437683098629e-06
0.2858716931654962,0.0008967648915906355,0.0008967648821193311,0.00017648159947727943,77.46037193199015,1.0,0.0,0.19000395860639896,5.286137872166669,6.188012118610076,True,True,-4.586860263326814e-09
0.2896184788626572,0.0008229492741302032,0.000822949183293264,0.00017648670267954926,65.22938948131225,1.0,0.0,0.16000235871658647,5.286035970543539,6.268994808237418,True,True,-4.793732110900126e-08
0.2934143719160065,0.0007648783257655974,0.0007648794830340929,0.00017649194078788436,56.34527728968154,1.0,0.0,0.13821035797911024,5.285931380262436,6.351034097515122,True,True,6.570913628144545e-07
0.2972600159525426,0.0007310011596602667,0.0007309965102014833,0.00017649731737464343,51.460694666465486,1.0,0.0,0.12622887620446724,5.285824030383549,6.43414364381474,True,True,-2.762294817675624e-06
0.3011560630349798,0.0007140731216278339,0.0007140652974482734,0.00017650283610740828,49.10138398837009,1.0,0.0,0.12044168002602505,5.285713848095334,6.518337275922457,True,True,-4.758639587255586e-06
0.30510317377231166,0.0007110395290529028,0.0007110477385195836,0.00017650850075145942,48.684142122208726,1.0,0.0,0.11941821984515649,5.285600758665126,6.603628995985011,True,True,5.014215597277034e-06
0.30910201743182264,0.0007112395658356184,0.0007112506758049491,0.00017651431517234646,48.70872646675957,1.0,0.0,0.1194785232321434,5.285484685388449,6.690032981469241,True,True,6.78387553503103e-06
0.3131532720525686,0.0007429642876293141,0.0007429628645385732,0.00017652028333854604,53.14546814556167,1.0,0.0,0.13036148778897919,5.285365549536993,6.77756358713498,True,True,-8.318583519962162e-07
0.3172576245603437,0.0007962005402808257,0.0007961998482754084,0.0001765264093242029,61.03037816804532,1.0,0.0,0.1497025272918212,5.285243270305214,6.866235347020953,True,True,-3.774605134935717e-07
0.32141577088415546,0.0008289412340607512,0.0008289416736188649,0.0001765326973119519,66.14833055025527,1.0,0.0,0.16225644604128953,5.285117764755527,6.956062976443393,True,True,2.3029088769028979e-07
0.3256284160742252,0.0008565452844379542,0.0008565379880061608,0.00017653915159582172,70.62076900936772,1.0,0.0,0.17322697189076627,5.284988947762051,7.047061374006974,True,True,-3.6995283491790074e-06
0.32989627442153546,0.0008735410770302344,0.0008735383356507791,0.00017654577658422012,73.44640234697066,1.0,0.0,0.18015801942705983,5.284856731952874,7.139245623627713,True,True,-1.362921412280862e-06
0.33422006957894457,0.0008604836463031665,0.0008605002575547498,0.00017655257680300313,71.26481187288657,1.0,0.0,0.17480675637648133,5.284721027650787,7.232630996567399,True,True,8.383779632362674e-06
0.33860053468388795,0.0008367176098313768,0.0008367270036433439,0.0001765595568986295,67.37617694605882,1.0,0.0,0.16526825286012894,5.284581742812467,7.327232953479155,True,True,4.8757881421090245e-06
0.3430384124826884,0.0008291483371755414,0.0008291364980143879,0.0001765667216414022,66.15392456550389,1.0,0.0,0.1622701677099766,5.284438782966038,7.423067146463637,True,True,-6.201205306015663e-06
0.3475344554564951,0.0008258765006187847,0.0008258512365385185,0.00017657407592880026,65.62525701430442,1.0,0.0,0.16097338943552342,5.284292051147002,7.520149421135387,True,True,-1.328554386293821e-05
0.3520894259488732,0.0008238331136315921,0.0008238105343558929,0.00017658162478890197,65.29575077989091,1.0,0.0,0.16016513758657347,5.284141447832467,7.618495818698818,True,True,-1.1903125841764495e-05
0.3567040962950664,0.0008233487492508124,0.0008233510436629343,0.00017658937338390333,65.21720830860758,1.0,0.0,0.15997247932815123,5.283986870873645,7.718122578033284,True,True,1.2102394474882297e-06
0.3613792489529526,0.0008547015334333687,0.0008547097910263678,0.00017659732701373298,70.27330208343261,1.0,0.0,0.172374663937865,5.283828215426569,7.819046137786612,True,True,4.195862074879968e-06
0.36611567663571665,0.000900988949874787,0.0009009890361796715,0.000176605491119578,78.08216770204524,1.0,0.0,0.19152917278941897,5.283665373880982,7.921283138476522,True,True,4.160065810332818e-08
0.3709141824462622,0.000943482019701393,0.000943485599829705,0.0001766138712878218,85.61348701292155,1.0,0.0,0.21000288342378765,5.283498235787346,8.024850424599222,True,True,1.6479667741082069e-06
0.3757755800133843,0.000971953350749752,0.0009719489601492115,0.000176622473254986,90.84818384095757,1.0,0.0,0.22284316659454625,5.283326687781929,8.129765046744517,True,True,-1.961840959075393e-06
0.38070069362972764,0.0009896329321961398,0.0009896127787860846,0.00017663130291001113,94.17085185599339,1.0,0.0,0.2309933995204226,5.283150613509917,8.236044263716659,True,True,-8.844293288325008e-06
0.3856903583915526,0.0009981410451841853,0.000998136592494827,0.00017664036629925047,95.79024770720197,1.0,0.0,0.23496564512116783,5.282969893546493,8.343705544660212,True,True,-1.937384240982854e-06
0.39074542034033316,0.0009888324646893283,0.0009888563566312805,0.00017664966963070657,94.00739425078142,1.0,0.0,0.23059245137903295,5.282784405315835,8.452766571190026,True,True,1.0493196341574424e-05
0.39586673660621036,0.000958393599434536,0.0009584053924688138,0.00017665921927839532,88.29724195230769,1.0,0.0,0.21658591473982575,5.2825940230079755,8.563245239524525,True,True,5.343961191003035e-06
0.40105517555332665,0.0008803010665550451,0.0008802999363347507,0.00017666902178683746,74.48379341319264,1.0,0.0,0.18270265488893914,5.282398617493474,8.675159662621377,True,True,-5.575919091241666e-07
0.40631161692706447,0.0008448813101353526,0.000844880851104399,0.00017667908387567852,68.60281104920651,1.0,0.0,0.16827708602320599,5.282198056235829,8.78852817231453,True,True,-2.35955822387388e-07
0.41163695200321465,0.0008211113907082866,0.0008211114046198142,0.00017668941244443806,64.78946145320894,1.0,0.0,0.15892325127202875,5.281992203201583,8.903369321451688,True,True,7.3579537061820085e-09
0.41703208373910045,0.0007950300539587259,0.0007950278878516632,0.0001767000145773932,60.73133251077293,1.0,0.0,0.14896899279831893,5.281780918768064,9.019701886031081,True,True,-1.183262974002842e-06
0.42249792692668153,0.0007891367937820982,0.0007891498505827197,0.00017671089754859855,59.829248314838814,1.0,0.0,0.14675625402666653,5.28156405962867,9.13754486733645,True,True,7.185635741861565e-06
0.4280354083476652,0.000833596198177981,0.0008335951474475577,0.0001767220688252571,66.74981038026401,1.0,0.0,0.16373182689752347,5.2813414786956825,9.256917494069047,True,True,-5.474193781598503e-07
0.4336454669306499,0.0009418374996787447,0.0009418374951719682,0.00017673353608056282,85.19915209569922,1.0,0.0,0.20898655368608862,5.281113025000496,9.377839224475427,True,True,-2.0781378941368232e-09
0.4393290539103298,0.0010230859491341753,0.0010230859118365054,0.0001767453071871909,100.51935201774538,1.0,0.0,0.24656575128831448,5.280878543591222,9.500329748469742,True,True,-1.583266055598397e-08
0.4450871329887839,0.0011099022598785382,0.0011099042627793203,0.00017675739023140078,118.28703124648911,1.0,0.0,0.290148415607903,5.280637875427591,9.624408989749107,True,True,7.837158316429439e-07
